parish_id,parish_name,registered_voters,municipality_id
020520,Beja (Salvador e Santa Maria da Feira),8902,0205
020521,Beja (Santiago Maior e São João Baptista),11278,0205
020522,Salvada e Quintos,1032,0205
020523,Santa Vitória e Mombeja,720,0205
020524,Trigaches e São Brissos,470,0205
020603,Entradas,540,0206
020604,Santa Bárbara de Padrões,714,0206
020605,São Marcos da Ataboeira,261,0206
020606,Castro Verde e Casével,4477,0206
020701,Cuba,2531,0207
020702,Faro do Alentejo,433,0207
020703,Vila Alva,311,0207
020704,Vila Ruiva,351,0207
020803,Figueira dos Cavaleiros,1001,0208
020804,Odivelas,380,0208
020807,Alfundão e Peroguarda,957,0208
020808,Ferreira do Alentejo e Canhestros,3791,0208
020901,Alcaria Ruiva,578,0209
020902,Corte do Pinto,692,0209
020903,Espírito Santo,275,0209
020904,Mértola,2163,0209
020905,Santana de Cambas,633,0209
020906,São João dos Caldeireiros,434,0209
020910,"S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros",725,0209
021001,Amareleja,1902,0210
021002,Póvoa de São Miguel,662,0210
021008,Sobral da Adiça,748,0210
021009,Santo Agostinho e São João Baptista e Santo Amador,7129,0210
021010,Safara e Santo Aleixo da Restauração,1343,0210
021102,Relíquias,622,0211
021103,Sabóia,703,0211
021106,São Luís,1516,0211
021107,São Martinho das Amoreiras,626,0211
021111,Vila Nova de Milfontes,4383,0211
021115,Luzianes-Gare,241,0211
021116,Boavista dos Pinheiros,1344,0211
021117,Longueira/Almograve,1047,0211
021118,Colos,747,0211
021119,Santa Clara-a-Velha,509,0211
021120,São Salvador e Santa Maria,2434,0211
021121,São Teotónio,4500,0211
021122,Vale de Santiago,722,0211
021203,Ourique,2302,0212
021206,Santana da Serra,567,0212
021207,Garvão e Santa Luzia,773,0212
021208,Panoias e Conceição,454,0212
021302,Brinches,810,0213
021303,Pias,2113,0213
021307,Vila Verde de Ficalho,1112,0213
021308,Serpa (Salvador e Santa Maria),4961,0213
021309,Vila Nova de São Bento e Vale de Vargo,3143,0213
021401,Pedrógão,828,0214
021402,Selmes,659,0214
021403,Vidigueira,2349,0214
021404,Vila de Frades,724,0214
030102,Barreiros,697,0301
030104,Bico,739,0301
030105,Caires,825,0301
030107,Carrazedo,751,0301
030108,Dornelas,481,0301
030111,Fiscal,699,0301
030112,Goães,528,0301
030113,Lago,1779,0301
030118,Rendufe,1027,0301
030119,Bouro (Santa Maria),668,0301
030120,Bouro (Santa Marta),444,0301
030125,Amares e Figueiredo,2629,0301
030126,"Caldelas, Sequeiros e Paranhos",1084,0301
030127,"Ferreiros, Prozelo e Besteiros",4272,0301
030128,Torre e Portela,547,0301
030129,"Vilela, Seramil e Paredes Secas",503,0301
030201,Abade de Neiva,1891,0302
030202,Aborim,726,0302
030203,Adães,675,0302
030205,Airó,865,0302
030206,Aldreu,716,0302
030208,Alvelos,1850,0302
030209,Arcozelo,10935,0302
030210,Areias,921,0302
030212,Balugães,750,0302
030213,Barcelinhos,1717,0302
030215,Barqueiros,1760,0302
030216,Cambeses,1205,0302
030218,Carapeços,1957,0302
030220,Carvalhal,1178,0302
030221,Carvalhas,660,0302
030224,Cossourado,719,0302
030228,Cristelo,1602,0302
030234,Fornelos,708,0302
030235,Fragoso,1935,0302
030237,Gilmonde,1401,0302
030242,Lama,1118,0302
030243,Lijó,2163,0302
030244,Macieira de Rates,1601,0302
030245,Manhente,1709,0302
030247,Martim,1989,0302
030252,Moure,827,0302
030254,Oliveira,971,0302
030255,Palme,920,0302
030256,Panque,613,0302
030257,Paradela,727,0302
030259,Pereira,1140,0302
030260,Perelhal,1566,0302
030261,Pousa,1992,0302
030263,Remelhe,1203,0302
030264,Roriz,1871,0302
030265,Rio Covo (Santa Eugénia),1413,0302
030268,Galegos (Santa Maria),2565,0302
030272,Galegos (São Martinho),1701,0302
030277,Tamel (São Veríssimo),2745,0302
030279,Silva,794,0302
030282,Ucha,1291,0302
030283,Várzea,1651,0302
030287,Vila Seca,967,0302
030290,Alheira e Igreja Nova,1456,0302
030291,Alvito (São Pedro e São Martinho) e Couto,1301,0302
030292,Areias de Vilar e Encourados,1637,0302
030293,"Barcelos, Vila Boa e Vila Frescainha",10279,0302
030294,Campo e Tamel (São Pedro Fins),1354,0302
030295,Carreira e Fonte Coberta,1870,0302
030296,"Chorente, Góios, Courel, Pedra Furada e Gueral",2291,0302
030297,Creixomil e Mariz,1065,0302
030298,Durrães e Tregosa,1278,0302
030299,Gamil e Midões,1270,0302
000302,"Milhazes, Vilar de Figos e Faria",1827,0003
030301,Adaúfe,3490,0303
030312,Espinho,1050,0303
030313,Esporões,1613,0303
030315,Figueiredo,1062,0303
030319,Gualtar,5780,0303
030322,Lamas,741,0303
030325,Mire de Tibães,2183,0303
030330,Padim da Graça,1442,0303
030331,Palmeira,5173,0303
030334,Pedralva,1111,0303
030336,Priscos,1251,0303
030338,Ruilhe,1066,0303
030349,Braga (São Vicente),11462,0303
030351,Braga (São Vítor),25126,0303
030354,Sequeira,1698,0303
030355,Sobreposta,1285,0303
030356,Tadim,1063,0303
030357,Tebosa,988,0303
030363,Arentim e Cunha,1334,0303
030364,"Braga (Maximinos, Sé e Cividade)",12844,0303
030365,Braga (São José de São Lázaro e São João do Souto),12240,0303
030366,Cabreiros e Passos (São Julião),1997,0303
030367,"Celeirós, Aveleda e Vimieiro",6075,0303
030368,Crespos e Pousada,1208,0303
030369,Escudeiros e Penso (Santo Estêvão e São Vicente),1708,0303
030370,Este (São Pedro e São Mamede),3905,0303
030371,Ferreiros e Gondizalves,8573,0303
030372,Guisande e Oliveira (São Pedro),977,0303
030373,Lomar e Arcos,6357,0303
030374,"Merelim (São Paio), Panoias e Parada de Tibães",4487,0303
030375,Merelim (São Pedro) e Frossos,3973,0303
030376,Morreira e Trandeiras,1294,0303
030377,"Nogueira, Fraião e Lamaçães",13712,0303
030378,Nogueiró e Tenões,4936,0303
030379,"Real, Dume e Semelhe",12177,0303
030380,Santa Lucrécia de Algeriz e Navarra,898,0303
030381,Vilaça e Fradelos,1497,0303
030401,Abadim,504,0304
030404,Basto,895,0304
030405,Bucos,548,0304
030406,Cabeceiras de Basto,668,0304
030407,Cavez,1560,0304
030408,Faia,539,0304
030413,Pedraça,724,0304
030415,Rio Douro,931,0304
030418,Alvite e Passos,1082,0304
030419,Arco de Baúlhe e Vila Nune,2086,0304
030420,Gondiães e Vilar de Cunhas,527,0304
030421,"Refojos de Basto, Outeiro e Painzela",6757,0304
030501,Agilde,1116,0305
030502,Arnóia,1443,0305
030503,Borba de Montanha,1129,0305
030508,Codeçoso,371,0305
030510,Fervença,1100,0305
030515,Moreira do Castelo,544,0305
030517,Rego,1120,0305
030518,Ribas,837,0305
030520,Basto (São Clemente),1360,0305
030521,Vale de Bouro,687,0305
030523,"Britelo, Gémeos e Ourilhe",3392,0305
030524,Caçarilhe e Infesta,598,0305
030525,Canedo de Basto e Corgo,1132,0305
030526,Carvalho e Basto (Santa Tecla),812,0305
030527,"Veade, Gagos e Molares",1653,0305
030601,Antas,2070,0306
030608,Forjães,2463,0306
030610,Gemeses,1042,0306
030615,Vila Chã,1305,0306
030616,Apúlia e Fão,7687,0306
030617,Belinho e Mar,2909,0306
030618,"Esposende, Marinhas e Gandra",11673,0306
030619,Fonte Boa e Rio Tinto,1665,0306
030620,Palmeira de Faro e Curvos,2890,0306
030705,Armil,650,0307
030708,Estorãos,1932,0307
030709,Fafe,15062,0307
030712,Fornelos,1525,0307
030714,Golães,2035,0307
030716,Medelo,1386,0307
030719,Paços,1024,0307
030722,Quinchães,2188,0307
030723,Regadas,1551,0307
030724,Revelhe,754,0307
030725,Ribeiros,580,0307
030726,Arões (Santa Cristina),1452,0307
030728,São Gens,1706,0307
030729,Silvares (São Martinho),1276,0307
030730,Arões (São Romão),3410,0307
