municipality_id,municipality_name,registered_voters
1705,Mondim de Basto,7411
1706,Montalegre,12921
1707,Murça,5982
1708,Peso da Régua,14682
1709,Ribeira de Pena,7979
1710,Sabrosa,6072
1711,Santa Marta de Penaguião,6883
1712,Valpaços,18162
1713,Vila Pouca de Aguiar,13545
1714,Vila Real,49319
1801,Armamar,5581
1802,Carregal do Sal,8837
1803,Castro Daire,13495
1804,Cinfães,15789
1805,Lamego,23044
1806,Mangualde,17735
1807,Moimenta da Beira,9862
1808,Mortágua,8170
1809,Nelas,12295
1810,Oliveira de Frades,8559
1811,Penalva do Castelo,7205
1812,Penedono,2774
1813,Resende,9638
1814,Santa Comba Dão,10103
1815,São João da Pesqueira,6405
1816,São Pedro do Sul,14521
1817,Sátão,12065
1818,Sernancelhe,5024
1819,Tabuaço,4566
1820,Tarouca,7180
1821,Tondela,24181
1822,Vila Nova de Paiva,5672
1823,Viseu,92594
1824,Vouzela,8744
3101,Calheta,12420
3102,Câmara de Lobos,32879
3103,Funchal,104824
3104,Machico,19959
3105,Ponta do Sol,9933
3106,Porto Moniz,3012
3107,Ribeira Brava,14183
3108,Santa Cruz,40219
3109,Santana,6890
3110,São Vicente,5936
3201,Porto Santo,5546
4101,Vila do Porto,5171
4201,Lagoa,13069
4202,Nordeste,4838
4203,Ponta Delgada,65463
4204,Povoação,6243
4205,Ribeira Grande,29137
4206,Vila Franca do Campo,10484
4301,Angra do Heroísmo,33395
4302,Vila da Praia da Vitória,19777
4401,Santa Cruz da Graciosa,3847
4501,Calheta,3689
4502,Velas,4985
4601,Lajes do Pico,4442
4602,Madalena,6030
4603,São Roque do Pico,3308
4701,Horta,12987
4801,Lajes das Flores,1238
4802,Santa Cruz das Flores,1823
4901,Corvo,363
