upper_district,party,party_list_seats,single_member_seats,total_seats
Lisboa 3,L,0,0,0
Lisboa 3,NC,0,0,0
Lisboa 3,ND,0,0,0
Lisboa 3,PAN,0,0,0
Lisboa 3,PCP-PEV,0,0,0
Lisboa 3,PCTP/MRPP,0,0,0
Lisboa 3,PLS,0,0,0
Lisboa 3,PPM,0,0,0
Lisboa 3,R.I.R.,0,0,0
Lisboa 3,VP,0,0,0
Madeira,PPD/PSD.CDS-PP,3,2,5
Madeira,CH,1,0,1
Madeira,ADN,0,0,0
Madeira,B.E.,0,0,0
Madeira,E,0,0,0
Madeira,IL,0,0,0
Madeira,JPP,0,0,0
Madeira,L,0,0,0
Madeira,MPT,0,0,0
Madeira,ND,0,0,0
Madeira,PAN,0,0,0
Madeira,PCP-PEV,0,0,0
Madeira,PPM,0,0,0
Madeira,PS,0,0,0
Madeira,PTP,0,0,0
Madeira,R.I.R.,0,0,0
Porto 1,PPD/PSD.CDS-PP,6,5,11
Porto 1,PS,4,0,4
Porto 1,CH,3,0,3
Porto 1,ADN,0,0,0
Porto 1,B.E.,0,0,0
Porto 1,E,0,0,0
Porto 1,IL,0,0,0
Porto 1,JPP,0,0,0
Porto 1,L,0,0,0
Porto 1,NC,0,0,0
Porto 1,ND,0,0,0
Porto 1,PAN,0,0,0
Porto 1,PCP-PEV,0,0,0
Porto 1,PCTP/MRPP,0,0,0
Porto 1,PLS,0,0,0
Porto 1,PPM,0,0,0
Porto 1,R.I.R.,0,0,0
Porto 1,VP,0,0,0
Porto 2,PPD/PSD.CDS-PP,6,6,12
Porto 2,PS,4,0,4
Porto 2,CH,3,0,3
Porto 2,IL,1,0,1
Porto 2,ADN,0,0,0
Porto 2,B.E.,0,0,0
Porto 2,E,0,0,0
Porto 2,JPP,0,0,0
Porto 2,L,0,0,0
Porto 2,NC,0,0,0
Porto 2,ND,0,0,0
Porto 2,PAN,0,0,0
Porto 2,PCP-PEV,0,0,0
Porto 2,PCTP/MRPP,0,0,0
Porto 2,PLS,0,0,0
Porto 2,PPM,0,0,0
Porto 2,R.I.R.,0,0,0
Porto 2,VP,0,0,0
Santarém,PPD/PSD.CDS-PP,2,2,4
Santarém,CH,2,1,3
Santarém,PS,2,0,2
Santarém,ADN,0,0,0
Santarém,B.E.,0,0,0
Santarém,E,0,0,0
Santarém,IL,0,0,0
Santarém,L,0,0,0
Santarém,PAN,0,0,0
Santarém,PCP-PEV,0,0,0
Santarém,PPM,0,0,0
Santarém,R.I.R.,0,0,0
Santarém,VP,0,0,0
Setúbal,CH,4,4,8
Setúbal,PS,4,1,5
Setúbal,PPD/PSD.CDS-PP,3,1,4
Setúbal,L,1,0,1
Setúbal,PCP-PEV,1,0,1
Setúbal,ADN,0,0,0
Setúbal,B.E.,0,0,0
Setúbal,E,0,0,0
Setúbal,IL,0,0,0
Setúbal,JPP,0,0,0
Setúbal,NC,0,0,0
Setúbal,ND,0,0,0
Setúbal,PAN,0,0,0
Setúbal,PCTP/MRPP,0,0,0
Setúbal,PLS,0,0,0
Setúbal,PPM,0,0,0
Setúbal,R.I.R.,0,0,0
Setúbal,VP,0,0,0
Trás-os-Montes,PPD/PSD.CDS-PP,3,3,6
Trás-os-Montes,CH,1,0,1
Trás-os-Montes,PS,1,0,1
Trás-os-Montes,ADN,0,0,0
Trás-os-Montes,B.E.,0,0,0
Trás-os-Montes,E,0,0,0
Trás-os-Montes,IL,0,0,0
Trás-os-Montes,L,0,0,0
Trás-os-Montes,PAN,0,0,0
Trás-os-Montes,PCP-PEV,0,0,0
Trás-os-Montes,PPM,0,0,0
Trás-os-Montes,R.I.R.,0,0,0
Trás-os-Montes,VP,0,0,0
Viana do Castelo,PPD/PSD.CDS-PP,2,2,4
Viana do Castelo,CH,1,0,1
Viana do Castelo,PS,1,0,1
Viana do Castelo,ADN,0,0,0
Viana do Castelo,B.E.,0,0,0
Viana do Castelo,E,0,0,0
Viana do Castelo,IL,0,0,0
Viana do Castelo,L,0,0,0
Viana do Castelo,PAN,0,0,0
Viana do Castelo,PCP-PEV,0,0,0
Viana do Castelo,PPM,0,0,0
Viana do Castelo,R.I.R.,0,0,0
Viana do Castelo,VP,0,0,0
Viseu,PPD/PSD.CDS-PP,3,3,6
Viseu,CH,1,0,1
Viseu,PS,1,0,1
Viseu,ADN,0,0,0
Viseu,B.E.,0,0,0
Viseu,E,0,0,0
Viseu,IL,0,0,0
Viseu,L,0,0,0
Viseu,ND,0,0,0
Viseu,PCP-PEV,0,0,0
Viseu,PPM,0,0,0
Viseu,R.I.R.,0,0,0
Viseu,VP,0,0,0
