upper_district,total_mandates,party_list_seats,single_member_seats
Alentejo,8,5,3
Aveiro,16,11,5
Açores,6,4,2
Beira Baixa,7,4,3
Braga,19,13,6
Coimbra,9,6,3
Faro,9,6,3
Leiria,10,7,3
Lisboa 1,15,10,5
Lisboa 2,16,11,5
Lisboa 3,16,11,5
Madeira,6,4,2
Porto 1,19,13,6
Porto 2,20,14,6
Santarém,9,6,3
Setúbal,19,13,6
Trás-os-Montes,8,5,3
Viana do Castelo,6,4,2
Viseu,8,5,3
