lower_district,parent_upper_district,party,votes
Viana do Castelo - SM 2,Viana do Castelo,PS,15044
Viana do Castelo - SM 2,Viana do Castelo,IL,2112
Viana do Castelo - SM 2,Viana do Castelo,L,1420
Viana do Castelo - SM 2,Viana do Castelo,ADN,1006
Viana do Castelo - SM 2,Viana do Castelo,PCP-PEV,925
Viana do Castelo - SM 2,Viana do Castelo,B.E.,915
Viana do Castelo - SM 2,Viana do Castelo,PAN,633
Viana do Castelo - SM 2,Viana do Castelo,R.I.R.,139
Viana do Castelo - SM 2,Viana do Castelo,E,123
Viana do Castelo - SM 2,Viana do Castelo,VP,98
Viana do Castelo - SM 2,Viana do Castelo,PPM,72
Viseu - SM 1,Viseu,PPD/PSD.CDS-PP,27670
Viseu - SM 1,Viseu,CH,14703
Viseu - SM 1,Viseu,PS,13406
Viseu - SM 1,Viseu,IL,1714
Viseu - SM 1,Viseu,ADN,1328
Viseu - SM 1,Viseu,L,981
Viseu - SM 1,Viseu,PCP-PEV,884
Viseu - SM 1,Viseu,B.E.,596
Viseu - SM 1,Viseu,R.I.R.,160
Viseu - SM 1,Viseu,ND,144
Viseu - SM 1,Viseu,PPM,124
Viseu - SM 1,Viseu,VP,71
Viseu - SM 1,Viseu,E,65
Viseu - SM 2,Viseu,PPD/PSD.CDS-PP,25816
Viseu - SM 2,Viseu,CH,13742
Viseu - SM 2,Viseu,PS,12901
Viseu - SM 2,Viseu,IL,1688
Viseu - SM 2,Viseu,ADN,1274
Viseu - SM 2,Viseu,L,1248
Viseu - SM 2,Viseu,B.E.,744
Viseu - SM 2,Viseu,PCP-PEV,654
Viseu - SM 2,Viseu,R.I.R.,158
Viseu - SM 2,Viseu,ND,132
Viseu - SM 2,Viseu,PPM,91
Viseu - SM 2,Viseu,E,72
Viseu - SM 2,Viseu,VP,71
Viseu - SM 3,Viseu,PPD/PSD.CDS-PP,34888
Viseu - SM 3,Viseu,PS,18903
Viseu - SM 3,Viseu,CH,17349
Viseu - SM 3,Viseu,IL,3063
Viseu - SM 3,Viseu,L,2165
Viseu - SM 3,Viseu,ADN,1586
Viseu - SM 3,Viseu,B.E.,1124
Viseu - SM 3,Viseu,PCP-PEV,951
Viseu - SM 3,Viseu,R.I.R.,229
Viseu - SM 3,Viseu,ND,155
Viseu - SM 3,Viseu,PPM,129
Viseu - SM 3,Viseu,VP,104
Viseu - SM 3,Viseu,E,90
