parish_id,municipality_id,municipio,distrito_ilha,upper_district
011304,0113,Oliveira de Azeméis,Aveiro,Aveiro
011305,0113,Oliveira de Azeméis,Aveiro,Aveiro
011310,0113,Oliveira de Azeméis,Aveiro,Aveiro
011315,0113,Oliveira de Azeméis,Aveiro,Aveiro
011318,0113,Oliveira de Azeméis,Aveiro,Aveiro
011319,0113,Oliveira de Azeméis,Aveiro,Aveiro
011321,0113,Oliveira de Azeméis,Aveiro,Aveiro
011322,0113,Oliveira de Azeméis,Aveiro,Aveiro
011323,0113,Oliveira de Azeméis,Aveiro,Aveiro
011324,0113,Oliveira de Azeméis,Aveiro,Aveiro
011403,0114,Oliveira do Bairro,Aveiro,Aveiro
011404,0114,Oliveira do Bairro,Aveiro,Aveiro
011405,0114,Oliveira do Bairro,Aveiro,Aveiro
011407,0114,Oliveira do Bairro,Aveiro,Aveiro
011502,0115,Ovar,Aveiro,Aveiro
011503,0115,Ovar,Aveiro,Aveiro
011504,0115,Ovar,Aveiro,Aveiro
011507,0115,Ovar,Aveiro,Aveiro
011510,0115,Ovar,Aveiro,Aveiro
011511,0115,Ovar,Aveiro,Aveiro
011512,0115,Ovar,Aveiro,Aveiro
011513,0115,Ovar,Aveiro,Aveiro
011601,0116,São João da Madeira,Aveiro,Aveiro
011702,0117,Sever do Vouga,Aveiro,Aveiro
011704,0117,Sever do Vouga,Aveiro,Aveiro
011705,0117,Sever do Vouga,Aveiro,Aveiro
011706,0117,Sever do Vouga,Aveiro,Aveiro
011708,0117,Sever do Vouga,Aveiro,Aveiro
011712,0117,Sever do Vouga,Aveiro,Aveiro
011713,0117,Sever do Vouga,Aveiro,Aveiro
011714,0117,Sever do Vouga,Aveiro,Aveiro
011715,0117,Sever do Vouga,Aveiro,Aveiro
011801,0118,Vagos,Aveiro,Aveiro
011804,0118,Vagos,Aveiro,Aveiro
011805,0118,Vagos,Aveiro,Aveiro
011807,0118,Vagos,Aveiro,Aveiro
011810,0118,Vagos,Aveiro,Aveiro
011815,0118,Vagos,Aveiro,Aveiro
011816,0118,Vagos,Aveiro,Aveiro
011817,0118,Vagos,Aveiro,Aveiro
011818,0118,Vagos,Aveiro,Aveiro
011819,0118,Vagos,Aveiro,Aveiro
011820,0118,Vagos,Aveiro,Aveiro
011901,0119,Vale de Cambra,Aveiro,Aveiro
011902,0119,Vale de Cambra,Aveiro,Aveiro
011903,0119,Vale de Cambra,Aveiro,Aveiro
011905,0119,Vale de Cambra,Aveiro,Aveiro
011906,0119,Vale de Cambra,Aveiro,Aveiro
011907,0119,Vale de Cambra,Aveiro,Aveiro
011910,0119,Vale de Cambra,Aveiro,Aveiro
020102,0201,Aljustrel,Beja,Alentejo
020103,0201,Aljustrel,Beja,Alentejo
020104,0201,Aljustrel,Beja,Alentejo
020107,0201,Aljustrel,Beja,Alentejo
020108,0201,Aljustrel,Beja,Alentejo
020203,0202,Almodôvar,Beja,Alentejo
020205,0202,Almodôvar,Beja,Alentejo
020206,0202,Almodôvar,Beja,Alentejo
020208,0202,Almodôvar,Beja,Alentejo
020211,0202,Almodôvar,Beja,Alentejo
020212,0202,Almodôvar,Beja,Alentejo
020213,0202,Almodôvar,Beja,Alentejo
020214,0202,Almodôvar,Beja,Alentejo
020301,0203,Alvito,Beja,Alentejo
020302,0203,Alvito,Beja,Alentejo
020401,0204,Barrancos,Beja,Alentejo
020502,0205,Beja,Beja,Alentejo
020503,0205,Beja,Beja,Alentejo
020504,0205,Beja,Beja,Alentejo
020506,0205,Beja,Beja,Alentejo
020510,0205,Beja,Beja,Alentejo
020516,0205,Beja,Beja,Alentejo
020519,0205,Beja,Beja,Alentejo
020520,0205,Beja,Beja,Alentejo
020521,0205,Beja,Beja,Alentejo
020522,0205,Beja,Beja,Alentejo
020523,0205,Beja,Beja,Alentejo
020524,0205,Beja,Beja,Alentejo
020603,0206,Castro Verde,Beja,Alentejo
020604,0206,Castro Verde,Beja,Alentejo
020605,0206,Castro Verde,Beja,Alentejo
020606,0206,Castro Verde,Beja,Alentejo
020701,0207,Cuba,Beja,Alentejo
020702,0207,Cuba,Beja,Alentejo
020703,0207,Cuba,Beja,Alentejo
020704,0207,Cuba,Beja,Alentejo
020803,0208,Ferreira do Alentejo,Beja,Alentejo
020804,0208,Ferreira do Alentejo,Beja,Alentejo
020809,0208,Ferreira do Alentejo,Beja,Alentejo
020810,0208,Ferreira do Alentejo,Beja,Alentejo
020811,0208,Ferreira do Alentejo,Beja,Alentejo
