upper_district,party,votes
Santarém,VP,498
Santarém,E,424
Santarém,PPM,247
Setúbal,CH,129569
Setúbal,PS,122679
Setúbal,PPD/PSD.CDS-PP,103181
Setúbal,PCP-PEV,34956
Setúbal,L,28700
Setúbal,IL,27057
Setúbal,B.E.,13068
Setúbal,PAN,9229
Setúbal,ADN,4187
Setúbal,PCTP/MRPP,2990
Setúbal,VP,886
Setúbal,PLS,847
Setúbal,R.I.R.,749
Setúbal,E,714
Setúbal,ND,682
Setúbal,JPP,453
Setúbal,NC,389
Setúbal,PPM,320
Trás-os-Montes,PPD/PSD.CDS-PP,81133
Trás-os-Montes,PS,45786
Trás-os-Montes,CH,37042
Trás-os-Montes,IL,4008
Trás-os-Montes,ADN,2784
Trás-os-Montes,L,2535
Trás-os-Montes,PCP-PEV,2126
Trás-os-Montes,B.E.,1741
Trás-os-Montes,PAN,1244
Trás-os-Montes,R.I.R.,279
Trás-os-Montes,PPM,252
Trás-os-Montes,E,210
Trás-os-Montes,VP,197
Viana do Castelo,PPD/PSD.CDS-PP,55376
Viana do Castelo,CH,32141
Viana do Castelo,PS,30393
Viana do Castelo,IL,5344
Viana do Castelo,L,3640
Viana do Castelo,PCP-PEV,2763
Viana do Castelo,B.E.,2285
Viana do Castelo,ADN,2047
Viana do Castelo,PAN,1300
Viana do Castelo,R.I.R.,315
Viana do Castelo,E,275
Viana do Castelo,VP,209
Viana do Castelo,PPM,145
Viseu,PPD/PSD.CDS-PP,88374
Viseu,CH,45794
Viseu,PS,45210
Viseu,IL,6465
Viseu,L,4394
Viseu,ADN,4188
Viseu,PCP-PEV,2489
Viseu,B.E.,2464
Viseu,R.I.R.,547
Viseu,ND,431
Viseu,PPM,344
Viseu,VP,246
Viseu,E,227
